source_id,slug,source_url,legacy_path
680,ao-chay-bo-mau-xanh-gradient-nang-dong-cho-nam,https://mayaochaybo.vn/ao-chay-bo-mau-xanh-gradient-nang-dong-cho-nam/,/ao-chay-bo-mau-xanh-gradient-nang-dong-cho-nam/
683,ao-chay-bo-ombre-xanh-do-ngoc-thoang-khi-khang-khuan-thoi-trang,https://mayaochaybo.vn/ao-chay-bo-ombre-xanh-do-ngoc-thoang-khi-khang-khuan-thoi-trang/,/ao-chay-bo-ombre-xanh-do-ngoc-thoang-khi-khang-khuan-thoi-trang/
686,ao-chay-bo-mau-xanh-duong-bien-chuyen-xanh-la-thiet-ke-gradient-nang-dong,https://mayaochaybo.vn/ao-chay-bo-mau-xanh-duong-bien-chuyen-xanh-la-thiet-ke-gradient-nang-dong/,/ao-chay-bo-mau-xanh-duong-bien-chuyen-xanh-la-thiet-ke-gradient-nang-dong/
689,ao-chay-bo-nam-mau-hong-cam-nang-dong-thoi-trang,https://mayaochaybo.vn/ao-chay-bo-nam-mau-hong-cam-nang-dong-thoi-trang/,/ao-chay-bo-nam-mau-hong-cam-nang-dong-thoi-trang/
692,ao-chay-bo-mau-vang-nghe-thiet-ke-the-thao-noi-bat,https://mayaochaybo.vn/ao-chay-bo-mau-vang-nghe-thiet-ke-the-thao-noi-bat/,/ao-chay-bo-mau-vang-nghe-thiet-ke-the-thao-noi-bat/
695,ao-chay-bo-nam-mau-xanh-ket-chuyen-sac-hien-dai,https://mayaochaybo.vn/ao-chay-bo-nam-mau-xanh-ket-chuyen-sac-hien-dai/,/ao-chay-bo-nam-mau-xanh-ket-chuyen-sac-hien-dai/
698,ao-chay-bo-nam-mau-xanh-gradient-mat-me-x24-05,https://mayaochaybo.vn/ao-chay-bo-nam-mau-xanh-gradient-mat-me-x24-05/,/ao-chay-bo-nam-mau-xanh-gradient-mat-me-x24-05/
701,ao-chay-bo-t-shirt-lux-phoi-mau-gradient-do-vang-xanh,https://mayaochaybo.vn/ao-chay-bo-t-shirt-lux-phoi-mau-gradient-do-vang-xanh/,/ao-chay-bo-t-shirt-lux-phoi-mau-gradient-do-vang-xanh/
704,ao-chay-bo-nam-phoi-mau-gradient-nang-dong,https://mayaochaybo.vn/ao-chay-bo-nam-phoi-mau-gradient-nang-dong/,/ao-chay-bo-nam-phoi-mau-gradient-nang-dong/
707,ao-chay-bo-nam-mau-xanh-duong-phoi-do-cam-vang-gradient-hien-dai,https://mayaochaybo.vn/ao-chay-bo-nam-mau-xanh-duong-phoi-do-cam-vang-gradient-hien-dai/,/ao-chay-bo-nam-mau-xanh-duong-phoi-do-cam-vang-gradient-hien-dai/
710,ao-chay-bo-nam-mau-den-cam-nang-dong-thoang-khi,https://mayaochaybo.vn/ao-chay-bo-nam-mau-den-cam-nang-dong-thoang-khi/,/ao-chay-bo-nam-mau-den-cam-nang-dong-thoang-khi/
713,ao-chay-bo-nam-mau-do-phoi-xanh-vang-nang-dong-noi-bat,https://mayaochaybo.vn/ao-chay-bo-nam-mau-do-phoi-xanh-vang-nang-dong-noi-bat/,/ao-chay-bo-nam-mau-do-phoi-xanh-vang-nang-dong-noi-bat/
