sourceProductId	variant	targetSlug	targetName	targetSku	sourceImageUrl	targetImageFile
4018	kids	ao-bong-da-tre-em-x24-bd-1119bf-den-010	Áo bóng đá trẻ em mẫu thiết kế riêng Rocket màu Đen	X24-BD-DBX-KID-010	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-1119bf-den-010.webp	ao-bong-da-tre-em-x24-bd-1119bf-den-010.webp
4018	adult	ao-bong-da-nguoi-lon-x24-bd-1119bf-den-010	Áo bóng đá người lớn mẫu thiết kế riêng Rocket màu Đen	X24-BD-DBX-ADULT-010	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-1119bf-den-010.webp	ao-bong-da-nguoi-lon-x24-bd-1119bf-den-010.webp
4019	kids	ao-bong-da-tre-em-x24-bd-98c13d-hong-011	Áo bóng đá trẻ em mẫu thiết kế riêng Rocket màu Hồng	X24-BD-DBX-KID-011	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-98c13d-hong-011.webp	ao-bong-da-tre-em-x24-bd-98c13d-hong-011.webp
4019	adult	ao-bong-da-nguoi-lon-x24-bd-98c13d-hong-011	Áo bóng đá người lớn mẫu thiết kế riêng Rocket màu Hồng	X24-BD-DBX-ADULT-011	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-98c13d-hong-011.webp	ao-bong-da-nguoi-lon-x24-bd-98c13d-hong-011.webp
4020	kids	ao-bong-da-tre-em-x24-bd-82c3aa-xanh-ngoc-012	Áo bóng đá trẻ em mẫu thiết kế riêng Rocket màu Xanh ngọc	X24-BD-DBX-KID-012	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-82c3aa-xanh-ngoc-012.webp	ao-bong-da-tre-em-x24-bd-82c3aa-xanh-ngoc-012.webp
4020	adult	ao-bong-da-nguoi-lon-x24-bd-82c3aa-xanh-ngoc-012	Áo bóng đá người lớn mẫu thiết kế riêng Rocket màu Xanh ngọc	X24-BD-DBX-ADULT-012	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-82c3aa-xanh-ngoc-012.webp	ao-bong-da-nguoi-lon-x24-bd-82c3aa-xanh-ngoc-012.webp
4021	kids	ao-bong-da-tre-em-x24-bd-23d3a2-xanh-duong-013	Áo bóng đá trẻ em mẫu thiết kế riêng Rocket màu Xanh dương	X24-BD-DBX-KID-013	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-23d3a2-xanh-duong-013.webp	ao-bong-da-tre-em-x24-bd-23d3a2-xanh-duong-013.webp
4021	adult	ao-bong-da-nguoi-lon-x24-bd-23d3a2-xanh-duong-013	Áo bóng đá người lớn mẫu thiết kế riêng Rocket màu Xanh dương	X24-BD-DBX-ADULT-013	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-23d3a2-xanh-duong-013.webp	ao-bong-da-nguoi-lon-x24-bd-23d3a2-xanh-duong-013.webp
4022	kids	ao-bong-da-tre-em-x24-bd-25-cam-014	Áo bóng đá trẻ em X24-BĐ-25 màu Cam	X24-BD-DBX-KID-014	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-25-cam-014.webp	ao-bong-da-tre-em-x24-bd-25-cam-014.webp
4022	adult	ao-bong-da-nguoi-lon-x24-bd-25-cam-014	Áo bóng đá người lớn X24-BĐ-25 màu Cam	X24-BD-DBX-ADULT-014	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-25-cam-014.webp	ao-bong-da-nguoi-lon-x24-bd-25-cam-014.webp
4023	kids	ao-bong-da-tre-em-x24-bd-25-do-015	Áo bóng đá trẻ em X24-BĐ-25 màu Đỏ	X24-BD-DBX-KID-015	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-25-do-015.webp	ao-bong-da-tre-em-x24-bd-25-do-015.webp
4023	adult	ao-bong-da-nguoi-lon-x24-bd-25-do-015	Áo bóng đá người lớn X24-BĐ-25 màu Đỏ	X24-BD-DBX-ADULT-015	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-25-do-015.webp	ao-bong-da-nguoi-lon-x24-bd-25-do-015.webp
4024	kids	ao-bong-da-tre-em-x24-bd-25-hong-016	Áo bóng đá trẻ em X24-BĐ-25 màu Hồng	X24-BD-DBX-KID-016	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-25-hong-016.webp	ao-bong-da-tre-em-x24-bd-25-hong-016.webp
4024	adult	ao-bong-da-nguoi-lon-x24-bd-25-hong-016	Áo bóng đá người lớn X24-BĐ-25 màu Hồng	X24-BD-DBX-ADULT-016	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-25-hong-016.webp	ao-bong-da-nguoi-lon-x24-bd-25-hong-016.webp
4025	kids	ao-bong-da-tre-em-x24-bd-25-tim-017	Áo bóng đá trẻ em X24-BĐ-25 màu Tím	X24-BD-DBX-KID-017	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-25-tim-017.webp	ao-bong-da-tre-em-x24-bd-25-tim-017.webp
4025	adult	ao-bong-da-nguoi-lon-x24-bd-25-tim-017	Áo bóng đá người lớn X24-BĐ-25 màu Tím	X24-BD-DBX-ADULT-017	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-25-tim-017.webp	ao-bong-da-nguoi-lon-x24-bd-25-tim-017.webp
4026	kids	ao-bong-da-tre-em-x24-bd-25-tim-than-018	Áo bóng đá trẻ em X24-BĐ-25 màu Tím than	X24-BD-DBX-KID-018	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-25-tim-than-018.webp	ao-bong-da-tre-em-x24-bd-25-tim-than-018.webp
