sourceProductId	targetSlug	targetName	targetSku	sourceImageUrl	targetImageFile
4028	ao-bong-da-tre-em-x24-bd-26-hong-020	Áo bóng đá trẻ em X24-BĐ-26 Eclipse màu Hồng	X24-BD-DBX-KID-020	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-26-hong-020.webp	ao-bong-da-tre-em-x24-bd-26-hong-020.webp
4029	ao-bong-da-tre-em-x24-bd-26-tim-than-021	Áo bóng đá trẻ em X24-BĐ-26 Eclipse màu Tím than	X24-BD-DBX-KID-021	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-26-tim-than-021.webp	ao-bong-da-tre-em-x24-bd-26-tim-than-021.webp
4030	ao-bong-da-tre-em-x24-bd-26-trang-022	Áo bóng đá trẻ em X24-BĐ-26 Eclipse màu Trắng	X24-BD-DBX-KID-022	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-26-trang-022.webp	ao-bong-da-tre-em-x24-bd-26-trang-022.webp
4031	ao-bong-da-tre-em-x24-bd-26-xanh-ve-chai-023	Áo bóng đá trẻ em X24-BĐ-26 Eclipse màu Xanh ve chai	X24-BD-DBX-KID-023	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-26-xanh-ve-chai-023.webp	ao-bong-da-tre-em-x24-bd-26-xanh-ve-chai-023.webp
4032	ao-bong-da-tre-em-x24-bd-34-den-024	Áo bóng đá trẻ em X24-BĐ-34 màu Đen	X24-BD-DBX-KID-024	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-34-den-024.webp	ao-bong-da-tre-em-x24-bd-34-den-024.webp
4033	ao-bong-da-tre-em-x24-bd-34-trang-025	Áo bóng đá trẻ em X24-BĐ-34 màu Trắng	X24-BD-DBX-KID-025	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-34-trang-025.webp	ao-bong-da-tre-em-x24-bd-34-trang-025.webp
4034	ao-bong-da-tre-em-x24-bd-34-vang-026	Áo bóng đá trẻ em X24-BĐ-34 màu Vàng	X24-BD-DBX-KID-026	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-34-vang-026.webp	ao-bong-da-tre-em-x24-bd-34-vang-026.webp
4035	ao-bong-da-tre-em-x24-bd-34-xanh-bich-027	Áo bóng đá trẻ em X24-BĐ-34 màu Xanh bích	X24-BD-DBX-KID-027	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-34-xanh-bich-027.webp	ao-bong-da-tre-em-x24-bd-34-xanh-bich-027.webp
4036	ao-bong-da-tre-em-x24-bd-34-xanh-duong-028	Áo bóng đá trẻ em X24-BĐ-34 màu Xanh dương	X24-BD-DBX-KID-028	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-34-xanh-duong-028.webp	ao-bong-da-tre-em-x24-bd-34-xanh-duong-028.webp
4037	ao-bong-da-tre-em-x24-bd-32-do-029	Áo bóng đá trẻ em X24-BĐ-32 màu Đỏ	X24-BD-DBX-KID-029	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-32-do-029.webp	ao-bong-da-tre-em-x24-bd-32-do-029.webp
4038	ao-bong-da-tre-em-x24-bd-32-tim-030	Áo bóng đá trẻ em X24-BĐ-32 màu Tím	X24-BD-DBX-KID-030	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-32-tim-030.webp	ao-bong-da-tre-em-x24-bd-32-tim-030.webp
4039	ao-bong-da-tre-em-x24-bd-32-vang-031	Áo bóng đá trẻ em X24-BĐ-32 màu Vàng	X24-BD-DBX-KID-031	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-32-vang-031.webp	ao-bong-da-tre-em-x24-bd-32-vang-031.webp
4040	ao-bong-da-tre-em-x24-bd-32-xam-032	Áo bóng đá trẻ em X24-BĐ-32 màu Xám	X24-BD-DBX-KID-032	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-32-xam-032.webp	ao-bong-da-tre-em-x24-bd-32-xam-032.webp
